Grant ID,Grant Number,Publication Title ,Publication Year,Authors ,Journal,Rubric 2 (original),check of Rubric 2 score,NEW Interdiscplinary Rubric (1),Citations,date for cite count,Abstract,Notes
grant.3037329,308414,Model for Predicting Daily Peak Visitation and Implications for Recreation Management and Water Quality: Evidence from Two Rivers in Puerto Rico,2008,Santiago et al. ,Environmental Management,1,,,15,,,
grant.3037329,308414,A Joint Estimation Method to Combine Dichotomous Choice CVM Models with Count Data TCM Models Corrected for Truncation and Endogenous Stratification,2008,Gonzalez and Loomis,Journal of Agricultural and Applied Economics,3,,,21,,,
grant.3037329,308414,Potential of Agent Based Modeling for Improving the Economic Efficiency of Adaptive Natural Resource Management,2009,Loomis et al. ,Journal of Natural Resource Policy,1,,,10,,,
grant.3020653,119422,No publications listed in NSF award search,,,,,,,,,,
grant.3057625,507948,Measuring the Socioeconomic Impacts of Chinaâ?,2006,Shen et al.,Environmental and Development Economics,1,,,34,,,
grant.3057625,507948,China's Ecological Rehabilitation Progress and Challenges,2006,Xu et al. ,Ecological Economics,2,,,10,,,
grant.3057635,508002,Coupled Human and Natural Systems,2007,"Liu, J., Dietz, T., Carpenter S., Folke, C., Alberti, M., Redman, C., Schneider, S., Ostrom, E., Pell, A., Lubchenco, J., Taylor, W., Ouyang, Z., Deadman, P., Kratz, T., and W. Provencher",Ambio: A Journal of the Human Environment,1,,,777,,,More than 10 citations - randomly selected 10
grant.3057635,508002,Interactions between Natural and Human Systems in Puget Sound.,2007,"Alberti, M., Christie, P. Marzluff, J. and J. Tewksbury",Sound Science: Synthesizing Ecological and Socioeconomic Information about the Puget Sound Ecosystem,1,,,34,,,More than 10 citations - randomly selected 10
grant.3057635,508002,The impact of urban patterns on aquatic ecosystems: An empirical analysis in Puget lowland sub-basins.,2007,"Alberti, M., Booth, D., Hill, K., Avolio, C., Coburn, B., Coe, S., and D. Spirandelli.",Landscape and Urban Planning,1,,,381,,,More than 10 citations - randomly selected 10
grant.3057635,508002,Ecological signatures: The science of sustainable urban forms.,2007,"Alberti, M",Places,1,,,20,,,More than 10 citations - randomly selected 10
grant.3057635,508002,Fengshui theory in urban landscape planning,2007,"Hong, S.-K., I.-J. Song, and J. Wu",Urban Ecosystems,1,,,44,,,More than 10 citations - randomly selected 10
grant.3057635,508002,Quantification of impervious surface in the Snohomish water resources inventory area of Western Washington from 1972- 2006.,2008,"Powell, S., Cohen, W., Yang, Z., Pierce, J., and M. Alberti",Remote Sensing and Environment,2,,,137,,,More than 10 citations - randomly selected 10
grant.3057635,508002,On the accuracy of landscape pattern analysis using remote sensing data,2008,"Shao, G. and J. Wu",Landscape Ecology,3,,,238,,,More than 10 citations - randomly selected 10
grant.3057635,508002,"""Global change and the ecology of Cities",2008,"Grimm, N., S. Faeth, N. Golubiewski, C. Redman, J. Wu, X. BAi, and J. Briggs",Science,1,,,3844,,,More than 10 citations - randomly selected 10
grant.3057635,508002,Multi-scale use of lands providing anthropogenic resources by American Crows in an urbanizing landscape,2009,"Withey, J. C. and J. M. Marzluff",Landscape Ecology,2,,,36,,,More than 10 citations - randomly selected 10
grant.3057635,508002,Species-specific survival and relative habitat use in an urban landscape during the postfledging period,2009,"Whittaker, K. A. and J. M. Marzluff",Auk,3,,,66,,,More than 10 citations - randomly selected 10
grant.3048114,409984,Rethinking the risk management process for GE crops in Third World agriculture,2005,Cleveland and Soleri,Ecology and Society,1,,,45,,,More than 10 citations - randomly selected 10
grant.3048114,409984,Spatiotemporal complexity of patchy invasion in a predator-prey system with the Allee effect,2006,Morozov et al,Jounral of Theoretical Biology,3,,,124,,,More than 10 citations - randomly selected 10
grant.3048114,409984,Transgenic maize and Mexican maize diversity: Risky synergy?,2006,Soleri et al. ,Agriculture and Human Values,2,,,12,,,More than 10 citations - randomly selected 10
grant.3048114,409984,Detecting (trans)gene flow to landraces in centers of crop origin: lessons from the case of maize in Mexico,2005,Cleveland et al. ,Environmental Biosafety Research,1,,,73,,,More than 10 citations - randomly selected 10
grant.3048114,409984,"Understanding the potential impact of transgenic crops in traditional agriculture: maize farmers' perspectives in Cuba, Guatemala & Mexico",2005,Soleri et al. ,Environmental Biosafety Research,2,,,35,,,More than 10 citations - randomly selected 10
